Task arrival date_act1,Task arrival date_act2,Task arrival date_act3,Actvity ID_act1,Actvity ID_act2,Actvity ID_act3,Task Executer_act1,Task Executer_act2,Task Executer_act3,Task executer department_act1,Task executer department_act2,Task executer department_act3,Task Type_act1,Task Type_act2,Task Type_act3,Action_act1,Action_act2,Action_act3,idBPMApplicationAction_act1,idBPMApplicationAction_act2,idBPMApplicationAction_act3,Period between arrival and execution_act1,Period between arrival and execution_act2,Period between arrival and execution_act3,Period between arrival and capture_act1,Period between arrival and capture_act2,Period between arrival and capture_act3,Cumulative Length of Process_act1,Cumulative Length of Process_act2,Cumulative Length of Process_act3,Overdue Days_act1,Overdue Days_act2,Overdue Days_act3,Role ID_act1,Role ID_act2,Role ID_act3,Years in Org Position_act1,Years in Org Position_act2,Years in Org Position_act3,Age_act1,Age_act2,Age_act3,idBPMRequirement_act1,idBPMRequirement_act2,idBPMRequirement_act3,Target,NumberOfFemales,NumberOfManagers,NumberOfOutsourcers,NumberOfRejections,Value Count,idField_203,idField_3486,idField_3388,idField_3391,idField_3390,idField_3491,idField_3420,idField_3935,idField_47,idField_1602,idField_1604,Value_10,Value_50,Value_30,Value_70,Value_20,Value_100,Value_60,Value_2,Value_40,Value_1,Value_80,Value_90,Actvity ID_last_act4,Task arrival date_last_act4
2022-05-13 09:45:16.437,2022-05-13 09:45:18.733,2022-05-13 13:23:16.793,100,105,106,Robot,9083,4731,Non identifiable,9083,4731,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,273,0,3,195,0,3,52,1,2,3,0,0,8,0,59,21,0,5,1,0,52,52,Non applicable,Non applicable,Non applicable,3,1,1,2,0,5,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,105,2022-05-21 17:19:44.097
2022-05-13 11:19:44.263,2022-05-13 11:19:44.827,2022-05-20 12:50:20.597,100,102,103,10340,4960,10925,10340,4960,10925,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,278,0,169,1,0,169,1,1,2,3,0,4,0,6,21,8,6,0,2,52,46,53,Non applicable,Non applicable,Non applicable,3,2,2,1,0,6,1,1,1,1,0,1,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,102,2022-05-20 13:53:34.313
2022-05-13 14:22:49.147,2022-05-13 14:22:49.973,2022-05-20 15:54:07.843,100,102,101,10683,4960,10683,10683,4960,10683,Initial Request,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,270,271,272,0,169,1,0,169,1,1,2,3,0,4,0,5,21,5,3,0,3,56,46,56,Non applicable,183,Non applicable,2,3,2,1,1,7,1,1,1,1,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,102,2022-05-20 17:51:46.940
2022-05-16 09:08:36.457,2022-05-16 09:08:37.083,2022-05-21 12:59:45.073,100,102,101,6920,4960,6920,6920,4960,6920,Initial Request,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,270,271,272,0,123,42,0,123,42,1,2,3,0,4,0,6,21,6,4,0,4,56,46,56,Non applicable,183,Non applicable,2,1,2,1,1,6,1,1,1,1,0,1,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,102,2022-05-23 07:34:40.553
2022-05-16 09:09:04.367,2022-05-16 09:09:04.913,2022-05-18 12:41:10.773,100,102,103,9522,Robot,10925,9522,Non identifiable,10925,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,278,0,51,0,0,51,0,1,2,3,0,1,0,5,0,8,3,0,2,53,0,53,Non applicable,Non applicable,Non applicable,3,1,2,1,0,6,1,1,1,1,0,1,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,102,2022-05-18 12:50:38.833
2022-05-16 10:28:43.553,2022-05-16 10:28:44.447,2022-05-18 15:28:56.393,100,102,101,9664,4322,9664,9664,4322,9664,Initial Request,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,270,271,272,0,53,0,0,48,0,1,2,3,0,1,0,10,21,10,0,0,0,55,57,55,Non applicable,183,Non applicable,3,1,2,1,1,7,1,1,1,1,1,1,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,102,2022-05-18 16:12:49.417
2022-05-16 11:31:27.997,2022-05-16 11:31:29.230,2022-05-21 15:41:39.243,100,102,103,8401,4960,10606,8401,4960,10606,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,278,0,124,1,0,124,1,1,2,3,0,4,0,5,21,11,0,0,1,55,46,49,Non applicable,Non applicable,Non applicable,2,2,2,1,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,102,2022-05-21 17:30:05.007
2022-05-16 14:56:42.343,2022-05-16 14:56:43.140,2022-05-17 13:15:00.413,100,102,103,1235,Robot,10606,1235,Non identifiable,10606,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,278,0,22,1,0,21,1,1,2,3,0,0,0,5,0,11,0,0,1,41,0,49,Non applicable,Non applicable,Non applicable,2,2,2,1,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,102,2022-05-17 14:50:23.530
2022-05-16 15:22:39.420,2022-05-16 15:22:43.390,2022-05-19 12:19:28.713,100,102,101,10169,507,10169,10169,507,10169,Initial Request,Execution,Requester response to rejection,Submit initial request,Non identifiable,Non identifiable,270,271,272,0,68,22,0,68,0,1,2,3,0,1,0,5,11,5,4,7,4,48,44,48,Non applicable,183,Non applicable,3,2,3,0,1,6,1,1,1,1,0,1,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,102,2022-05-20 11:03:57.400
2022-05-16 17:20:24.983,2022-05-16 17:20:26.627,2022-05-17 11:22:22.387,100,102,103,6869,Robot,10606,6869,Non identifiable,10606,Initial Request,Execution,Execution,Submit initial request,Non identifiable,Non identifiable,270,273,278,0,18,0,0,17,0,1,2,3,0,0,0,5,0,11,5,0,1,60,0,49,Non applicable,Non applicable,Non applicable,2,2,2,1,0,6,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,102,2022-05-17 11:58:48.703
