Target,NumberOfFemales,NumberOfManagers,NumberOfOutsourcers,NumberOfRejections,Value Count,idField_203,idField_3486,idField_3388,idField_3391,idField_3390,idField_3491,idField_3420,idField_3935,idField_47,idField_1602,idField_1604,Value_10,Value_50,Value_30,Value_70,Value_20,Value_100,Value_60,Value_2,Value_40,Value_1,Value_80,Value_90,Actvity ID_last_act1,Task arrival date_last_act1
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-05 11:33:45.153
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,100,2022-05-05 11:46:49.123
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,100,2022-05-05 12:13:11.703
3,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-05 12:14:21.053
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,100,2022-05-05 12:43:41.100
1,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,100,2022-05-05 12:48:52.657
1,0,0,0,0,10,1,1,1,1,1,1,1,0,1,1,1,4,0,2,0,0,1,0,0,0,0,0,0,100,2022-05-05 13:01:39.653
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,100,2022-05-05 13:17:39.857
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-05 13:25:05.953
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100,2022-05-05 13:37:12.107
3,0,0,0,0,9,1,1,1,1,1,1,1,0,1,0,1,5,0,1,0,0,0,0,0,0,0,1,0,100,2022-05-05 13:41:20.080
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-05 13:48:23.080
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,100,2022-05-05 13:48:53.350
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-05 13:50:40.310
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-05 13:55:14.193
3,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,100,2022-05-05 13:56:23.700
3,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,100,2022-05-05 14:13:17.997
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,100,2022-05-05 14:27:20.270
3,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,100,2022-05-05 14:59:58.893
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-05 15:32:35.597
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-05 15:37:06.980
1,0,0,0,0,9,1,1,1,1,0,1,1,0,1,1,1,4,0,0,0,1,1,0,2,0,0,0,0,100,2022-05-05 16:00:24.747
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-05 16:11:33.923
1,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,100,2022-05-05 16:17:22.657
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-05 16:18:39.507
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-05 16:45:55.200
3,0,0,0,0,5,1,1,1,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,100,2022-05-05 16:55:19.603
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-05 16:56:05.153
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,100,2022-05-05 16:58:49.370
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-05 17:01:47.773
1,0,0,0,0,9,1,1,1,1,0,1,1,0,1,1,1,2,0,0,0,3,1,0,2,0,0,0,0,100,2022-05-05 17:05:13.400
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,100,2022-05-05 17:07:54.490
1,0,0,0,0,10,1,1,1,1,1,1,1,0,1,1,1,5,0,0,0,1,0,0,1,0,1,1,0,100,2022-05-05 17:07:57.570
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,100,2022-05-05 17:08:38.950
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,100,2022-05-05 17:10:04.753
1,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,100,2022-05-05 17:14:33.007
1,0,0,0,0,9,1,1,1,1,0,1,1,0,1,1,1,3,0,0,0,2,1,0,2,0,0,0,0,100,2022-05-05 17:19:15.000
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,100,2022-05-05 17:20:26.567
1,0,0,0,0,10,1,1,1,1,1,1,1,0,1,1,1,5,0,0,0,1,1,0,2,0,0,0,0,100,2022-05-05 17:24:59.200
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,100,2022-05-05 17:26:26.503
0,0,0,0,0,5,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,100,2022-05-05 17:26:43.957
0,0,0,0,0,6,1,1,1,1,1,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,100,2022-05-05 17:27:09.287
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,100,2022-05-05 17:27:48.680
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,100,2022-05-05 17:29:40.753
1,0,0,0,0,10,1,1,1,1,1,1,1,0,1,1,1,4,0,0,0,2,0,0,2,0,0,0,1,100,2022-05-05 17:41:49.217
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,100,2022-05-05 17:46:16.660
1,0,0,0,0,9,1,1,1,1,0,1,1,0,1,1,1,4,0,0,0,1,1,0,1,0,0,0,0,100,2022-05-05 17:56:28.147
1,0,0,0,0,9,1,1,1,1,0,1,1,0,1,1,1,4,0,0,0,1,1,0,2,0,0,0,0,100,2022-05-05 17:58:52.313
1,0,0,0,0,10,1,1,1,1,1,1,1,0,1,1,1,6,0,0,0,0,1,0,2,0,0,0,0,100,2022-05-05 18:04:46.407
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-05 18:09:50.007
1,0,0,0,0,9,1,1,1,1,0,1,1,0,1,1,1,4,0,0,0,1,1,0,2,0,0,0,0,100,2022-05-05 18:11:29.907
1,0,0,0,0,8,1,1,1,0,1,0,1,0,1,1,1,3,0,0,0,0,0,0,0,0,2,0,2,100,2022-05-05 18:18:19.443
0,0,0,0,0,6,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,100,2022-05-06 08:29:33.000
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,100,2022-05-06 08:30:24.080
3,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,100,2022-05-06 08:34:46.900
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,100,2022-05-06 09:02:54.380
1,0,0,0,0,9,1,1,1,1,0,1,1,0,1,1,1,4,0,0,0,1,1,0,1,0,1,0,0,100,2022-05-06 09:08:36.343
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,100,2022-05-06 09:10:23.540
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,100,2022-05-06 09:21:25.843
2,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1,0,100,2022-05-06 09:25:34.173
3,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,100,2022-05-06 09:27:23.747
1,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,100,2022-05-06 09:32:14.190
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,100,2022-05-06 09:34:41.517
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-06 09:37:25.840
1,0,0,0,0,9,1,1,1,1,0,1,1,0,1,1,1,2,0,0,0,1,0,0,0,1,0,1,1,100,2022-05-06 09:42:15.567
3,0,0,0,0,7,1,1,1,1,1,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,100,2022-05-06 09:53:13.870
2,0,0,0,0,6,1,1,1,1,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,100,2022-05-06 09:58:49.210
